"id","last_updated","sample_id","eartag","name","prev_id","sex","age_class","status","first_seen","den_grad","disappeared","mom","birthdate","number_littermates","litrank","arrived_den","leave_den","fate","mortality_source","death_date","weaned","clan","park","misc_notes"
"tab","09-dec-15","","","taboo","zorro","m","c","r","01-aug-07","","04-nov-10","adon","01-jan-07","1","","21-sep-07","09/21/07 00:00:00","d","","","20-may-08","talek","tk",""
"taco","13-nov-15","","","taco","","f","c","r","16-aug-03","","","cta","","","","","","a","","","","airstrip","","amboseli"
"tag","","","","tarragon","","u","c","r","14-oct-04","","21-nov-04","whh","23-jun-04","1","2","","","k","","","","talek","",""
"tai","06-may-15","","","taipan","cheers = cub name","m","c","r","","","06-aug-09","med","","","","","","d","","","","fig.tree","",""
"tall","11-aug-16","","","tallahassee","","m","a","i","10-aug-09","","","","","","","","","d","","","","fig.tree","","ft natal male (dfs: 8/10/2009), imm to talek west (dfs in tw 7/10/2012, dls in tw 12/26/2013), seen again in ft oct 2014"
"tals","13-nov-15","","","ms tailless","","f","","r","12-jul-03","","","","","","","","","a","","","","airstrip","","amboseli"
"tami","08-sep-16","","","tamika catchings","twinkle","m","c","r","29-jun-15","29-feb-16","","baez","29-mar-15","1","1","","","a","","","","talek","tk",""
"tana","19-jul-16","","","tana","","m","c","r","27-jul-03","","04-sep-06","par","15-jun-03","","","","","d","","","","talek","","talek east; dengrad calced by pat"
"tang","21-jul-16","381","381","tango","","f","c","r","11-sep-00","19-may-01","30-nov-01","puc","06-jul-00","1","2","","","k","","","18-aug-01","talek","tk","talek east. dengrad calced by pat"
"tao","","","","tahoe","","f","c","r","12-jun-04","","","chn","12-may-04","","","","","a","","","","oltukai","","amboseli"
"tast","15-jun-15","579","","tasty twist","","f","c","r","10-apr-14","","","gel","10-sep-13","","","","","a","","","","talek","",""
"tat","18-nov-16","","","tatters","","m","a","t","26-jul-95","","26-jul-95","","","","","","","u","","","","talek","tk",""
"tato","02-feb-16","","","tatooine","redhead= cub","f","c","r","23-jan-13","06-aug-13","","loki","25-nov-12","1","","","","a","","","02-nov-13","talek","tk",""
"tb","14-dec-16","","","toothbrush","","m","a","t","19-nov-89","","19-nov-89","","","","","","","u","","","","talek","tk",""
"tbo","","870","","t-bone","","m","c","r","23-dec-02","","22-sep-06","back","09-nov-02","","","","","d","","","","mara.river","",""
"tbut","18-nov-16","","","tumor butt","","m","a","t","20-oct-94","","20-oct-94","","","","","","","u","","","","talek","tk",""
"tcat","","391","753","tabby cat","","f","s","r","01-jun-08","","01-jun-08","","","","","","","a","","","","llion","","################"
"tch","22-apr-07","","","titchy","","f","s","r","10-jun-04","","","","","","","","","a","","","","emarti h","","status= double crossing"
"tclv","06-may-15","","","the cunning little vixen","","","c","r","21-nov-09","","13-jun-10","cmta","23-oct-09","1","","","","k","unk","","","fig.tree","",""
"tcy","11-aug-16","","","tracy","deedee, dee, romie, rme = cub names","f","a","r","03-may-07","","13-mar-12","bbc?","","","","","","k","unk","","","fig.tree","","often misspelled tra"
"tdee","28-mar-08","176","","tweedle dee","","f","c","r","20-may-96","","16-jul-96","bb","20-mar-96","1","2","","","k","illness","16-jul-96","","talek","tk"," dengrad calced by pat"
"tdot","","","","t-dot","","m","a","t","04-nov-90","","04-nov-90","","","","","","","","","","","talek","tk",""
"tdum","17-nov-17","218","","tweedle dum","","m","c","r","20-may-96","19-dec-96","07-dec-99","bb","20-mar-96","1","1","","","d","","","28-apr-97","talek","tk"," dengrad calced by pat"
"ted","02-feb-16","647","","ted williams","","f","c","r","22-jan-11","25-may-11","","aqua","30-oct-10","1","2","","","a","","","08-oct-11","talek","",""
"term","","","","terminator","","m","a","t","12-aug-91","","12-aug-91","","","","","","","","","","","talek","tk",""
"teva","02-feb-16","","","teva","","m","c","r","19-jul-08","25-jan-09","29-jan-10","hex","16-apr-08","0","","","","u","","","19-feb-09","talek","",""
"tgn","17-jun-15","","","teagan","","","c","r","06-dec-12","","","tud","10-oct-12","1","","","","a","","","","fig.tree","tk",""
"tgpi","02-feb-16","","","togepi","","f","c","r","06-mar-12","14-sep-12","","mgta","03-jan-12","1","2","","","a","","","11-nov-12","talek","",""
"tgw","21-jul-16","","","tangawizi","","f","c","r","15-feb-06","16-aug-06","12-dec-06","tia","20-nov-05","1","2","18-aug-06","08/18/06 00:00:00","k","starved?","","27-nov-06","talek","",""
"thef","11-aug-16","","","thief","","u","s","r","22-dec-14","","08-may-15","","08-aug-14","","","","","u","","","","talek","tk","unknown sub from kcm d complex; there is never any evidence to indicate who its mom might be, and so cannot give it one"
"thi","28-mar-08","144","","thing","","u","c","r","17-mar-95","","28-mar-95","23s","13-mar-95","1","","","","k","starvation","28-mar-95","","talek","tk"," dengrad calced by pat"
"thm","23-sep-09","","","thermopylae","","m","c","r","19-jul-09","","","com","15-feb-09","1","1","","","a","","","","mara.river","",""
"tho","28-mar-08","","","thoreau","","u","c","r","14-jun-99","","15-jun-99","who","25-may-99","1","2","","","k","","15-jun-99","","talek","tk","talek east. dengrad calced by pat"
"thor","21-jul-16","710","710","thor","","f","c","r","26-apr-02","10-nov-02","20-jan-03","mrph","08-mar-02","1","","","","k","","","","talek","tk","master list: sex is not listed dengrad calced by pat"
"tht","","","","thatcher","","m","c","r","01-sep-03","","","sndy","03-aug-03","2","1","","","a","","","","oltukai","","amboseli"
"thum","18-jul-16","133","","thumper","","m","c","r","31-jul-94","","05-sep-94","bm","12-jul-94","1","2","","","k","","05-sep-94","","talek","tk"," dengrad calced by pat"
